date,year,month,region,nhpi,status,nhpi_growth_pct
2019-03-01,2019,3,Alberta,99.1,,-0.10080645161291146
2019-04-01,2019,4,Alberta,98.8,,-0.3027245206861706
2019-05-01,2019,5,Alberta,98.6,,-0.2024291497975783
2019-06-01,2019,6,Alberta,98.0,,-0.6085192697768749
2019-07-01,2019,7,Alberta,97.6,,-0.40816326530612734
2019-08-01,2019,8,Alberta,97.7,,0.10245901639345245
2019-09-01,2019,9,Alberta,97.7,,0.0
2019-10-01,2019,10,Alberta,97.5,,-0.20470829068577334
2019-11-01,2019,11,Alberta,97.0,,-0.512820512820511
2019-12-01,2019,12,Alberta,97.2,,0.20618556701030855
2020-01-01,2020,1,Alberta,97.2,,0.0
2020-02-01,2020,2,Alberta,97.4,,0.2057613168724215
2020-03-01,2020,3,Alberta,97.4,,0.0
2020-04-01,2020,4,Alberta,97.2,,-0.2053388090349051
2020-05-01,2020,5,Alberta,97.2,,0.0
2020-06-01,2020,6,Alberta,97.1,,-0.10288065843622185
2020-07-01,2020,7,Alberta,96.7,,-0.4119464469618861
2020-08-01,2020,8,Alberta,96.7,,0.0
2020-09-01,2020,9,Alberta,97.1,,0.4136504653567741
2020-10-01,2020,10,Alberta,97.4,,0.308959835221434
2020-11-01,2020,11,Alberta,97.8,,0.4106776180698102
2020-12-01,2020,12,Alberta,97.7,,-0.10224948875254825
2021-01-01,2021,1,Alberta,98.0,,0.3070624360286489
2021-02-01,2021,2,Alberta,98.8,,0.8163265306122325
2021-03-01,2021,3,Alberta,99.5,,0.7085020242914908
2021-04-01,2021,4,Alberta,101.0,,1.5075376884422065
2021-05-01,2021,5,Alberta,104.1,,3.069306930693072
2021-06-01,2021,6,Alberta,106.2,,2.017291066282434
2021-07-01,2021,7,Alberta,106.6,,0.37664783427493465
2021-08-01,2021,8,Alberta,106.5,,-0.09380863039398779
2021-09-01,2021,9,Alberta,106.4,,-0.09389671361501595
2021-10-01,2021,10,Alberta,106.4,,0.0
2021-11-01,2021,11,Alberta,106.4,,0.0
2021-12-01,2021,12,Alberta,106.8,,0.3759398496240518
2022-01-01,2022,1,Alberta,108.6,,1.6853932584269593
2022-02-01,2022,2,Alberta,112.2,,3.314917127071837
2022-03-01,2022,3,Alberta,115.5,,2.941176470588225
2022-04-01,2022,4,Alberta,116.7,,1.0389610389610393
2022-05-01,2022,5,Alberta,118.3,,1.371036846615259
2022-06-01,2022,6,Alberta,118.4,,0.08453085376163294
2022-07-01,2022,7,Alberta,118.0,,-0.33783783783783994
2022-08-01,2022,8,Alberta,118.2,,0.16949152542373724
2022-09-01,2022,9,Alberta,118.0,,-0.16920473773266442
2022-10-01,2022,10,Alberta,117.7,,-0.25423728813559476
2022-11-01,2022,11,Alberta,117.5,,-0.1699235344095218
2022-12-01,2022,12,Alberta,117.4,,-0.08510638297871687
2023-01-01,2023,1,Alberta,117.3,,-0.08517887563884718
2023-02-01,2023,2,Alberta,116.9,,-0.34100596760442414
2023-03-01,2023,3,Alberta,117.1,,0.17108639863130382
2023-04-01,2023,4,Alberta,117.0,,-0.0853970964987183
2023-05-01,2023,5,Alberta,117.4,,0.34188034188034067
2023-06-01,2023,6,Alberta,117.4,,0.0
2023-07-01,2023,7,Alberta,117.6,,0.17035775127767216
2023-08-01,2023,8,Alberta,118.1,,0.42517006802720303
2023-09-01,2023,9,Alberta,117.9,,-0.16934801016087464
2023-10-01,2023,10,Alberta,117.9,,0.0
2023-11-01,2023,11,Alberta,117.6,,-0.2544529262086592
2023-12-01,2023,12,Alberta,117.8,,0.1700680272108901
2024-01-01,2024,1,Alberta,118.0,,0.1697792869270076
2024-02-01,2024,2,Alberta,118.2,,0.16949152542373724
2024-03-01,2024,3,Alberta,118.6,,0.33840947546530664
2024-04-01,2024,4,Alberta,119.7,,0.927487352445211
2024-05-01,2024,5,Alberta,120.6,,0.7518796992481036
2024-06-01,2024,6,Alberta,121.2,,0.4975124378109541
2024-07-01,2024,7,Alberta,122.2,,0.8250825082508184
