year,region,housing_starts_saar,housing_starts_growth_pct
1994,Ontario,45854.333333333336,0.31685608753833083
1995,Ontario,36178.166666666664,-21.101967825650803
1996,Ontario,41928.416666666664,15.894254822199393
1997,Ontario,54006.166666666664,28.805642950981934
1998,Ontario,54616.333333333336,1.1298092501782264
1999,Ontario,67243.5,23.119762708347324
2000,Ontario,71755.08333333333,6.709322586321842
2001,Ontario,73832.75,2.895497531533775
2002,Ontario,84089.16666666667,13.891419006696438
2003,Ontario,85424.58333333333,1.5880959695561137
2004,Ontario,86116.75,0.8102663655563669
2005,Ontario,78303.75,-9.072567183503788
2006,Ontario,74552.25,-4.7909582874383405
2007,Ontario,67790.5,-9.069813452980968
2008,Ontario,75201.25,10.931841482213578
2009,Ontario,49794.25,-33.785342663852006
2010,Ontario,61032.25,22.568870903769
2011,Ontario,67801.41666666667,11.091130781949987
2012,Ontario,77387.08333333333,14.137856018249352
2013,Ontario,61075.5,-21.07791459599739
2014,Ontario,58587.416666666664,-4.073782995363661
2015,Ontario,68997.33333333333,17.768178320430007
2016,Ontario,74747.5,8.333896962201436
2017,Ontario,79876.33333333333,6.861544979207768
2018,Ontario,79075.66666666667,-1.0023828501558585
2019,Ontario,68989.91666666667,-12.754555763045516
2020,Ontario,81237.41666666667,17.752594280082
2021,Ontario,100424.5,23.618529638949216
2022,Ontario,95957.25,-4.448366683428839
2023,Ontario,89726.08333333333,-6.493690332587343
2024,Ontario,74481.16666666667,-16.990507219658333
2025,Ontario,65184.416666666664,-12.482014468982106
2026,Ontario,66866.0,2.5797321190008438
1990,Prince Edward Island,875.8333333333334,
1991,Prince Edward Island,585.3333333333334,-33.16841103710752
1992,Prince Edward Island,598.0833333333334,2.1782460136674286
1993,Prince Edward Island,644.3333333333334,7.733036087501732
1994,Prince Edward Island,794.5833333333334,23.318675633729956
1995,Prince Edward Island,490.3333333333333,-38.29050865233351
1996,Prince Edward Island,613.75,25.16995241332427
1997,Prince Edward Island,429.3333333333333,-30.047522063815347
1998,Prince Edward Island,515.6666666666666,20.108695652173903
1999,Prince Edward Island,637.75,23.674854557207503
2000,Prince Edward Island,847.0833333333334,32.82372925650072
2001,Prince Edward Island,676.9166666666666,-20.088539104771286
2002,Prince Edward Island,738.8333333333334,9.146866921088282
2003,Prince Edward Island,826.5,11.865553801037665
2004,Prince Edward Island,892.6666666666666,8.005646299657187
2005,Prince Edward Island,976.0,9.335324869305461
2006,Prince Edward Island,764.8333333333334,-21.63592896174863
2007,Prince Edward Island,747.6666666666666,-2.244497711919813
2008,Prince Edward Island,712.75,-4.670084707980382
2009,Prince Edward Island,858.25,20.413889863205892
2010,Prince Edward Island,739.3333333333334,-13.85571414700456
2011,Prince Edward Island,949.9166666666666,28.482867448151474
2012,Prince Edward Island,952.9166666666666,0.3158171769453544
2013,Prince Edward Island,632.75,-33.59860078705728
2014,Prince Edward Island,519.3333333333334,-17.924404056367706
2015,Prince Edward Island,538.6666666666666,3.7227214377406836
2016,Prince Edward Island,535.0833333333334,-0.6652227722772186
2017,Prince Edward Island,944.3333333333334,76.48341379847375
2018,Prince Edward Island,1033.9166666666667,9.486410165901882
2019,Prince Edward Island,1291.1666666666667,24.88111549931491
2020,Prince Edward Island,1099.4166666666667,-14.850910029688913
2021,Prince Edward Island,1162.5833333333333,5.745471083150133
2022,Prince Edward Island,1041.1666666666667,-10.443695792416296
2023,Prince Edward Island,829.75,-20.305746758444055
2024,Prince Edward Island,1235.5833333333333,48.91031435171236
2025,Prince Edward Island,1717.8333333333333,39.030147703513876
2026,Prince Edward Island,1988.5,15.756282138352585
1990,Quebec,52079.5,
1991,Quebec,45541.833333333336,-12.553243918752411
1992,Quebec,40745.916666666664,-10.530794031860824
1993,Quebec,34566.916666666664,-15.164709756192341
1994,Quebec,33620.416666666664,-2.7381672745857677
1995,Quebec,23126.25,-31.213672247766112
1996,Quebec,23523.666666666668,1.7184656685224287
1997,Quebec,25770.0,9.549248274787093
1998,Quebec,22689.25,-11.954792394256886
1999,Quebec,25590.916666666668,12.788728876744138
2000,Quebec,24341.333333333332,-4.882917441409884
2001,Quebec,27468.416666666668,12.846803790534622
2002,Quebec,42230.833333333336,53.743238446579554
2003,Quebec,50340.833333333336,19.203978136038046
2004,Quebec,58270.666666666664,15.75228856627322
2005,Quebec,51371.166666666664,-11.840434295128476
2006,Quebec,47527.166666666664,-7.48279676991308
2007,Quebec,48636.0,2.3330516231067966
2008,Quebec,47757.25,-1.8067892096389482
2009,Quebec,43545.333333333336,-8.819428812728258
2010,Quebec,51205.5,17.59124590465109
2011,Quebec,48265.333333333336,-5.741896215575792
2012,Quebec,47176.666666666664,-2.255587170916329
2013,Quebec,37712.25,-20.06164770719988
2014,Quebec,39105.0,3.69309707058052
2015,Quebec,36699.666666666664,-6.150961087669959
2016,Quebec,38928.25,6.0724893050799755
2017,Quebec,46092.333333333336,18.40330180096288
2018,Quebec,46594.416666666664,1.0892990157437499
2019,Quebec,48003.083333333336,3.023252070616489
2020,Quebec,53848.333333333336,12.176821974977292
2021,Quebec,69377.58333333333,28.83886842675414
2022,Quebec,58467.666666666664,-15.725420434794612
2023,Quebec,40307.833333333336,-31.05961699628854
2024,Quebec,48798.833333333336,21.065384313222822
2025,Quebec,59398.916666666664,21.722001550583503
2026,Quebec,58260.166666666664,-1.9171225064430142
1990,Saskatchewan,1399.8333333333333,
1991,Saskatchewan,1005.8333333333334,-28.146207881890696
1992,Saskatchewan,1804.8333333333333,79.43661971830984
1993,Saskatchewan,1945.25,7.780035090959458
1994,Saskatchewan,2014.75,3.572805551985603
1995,Saskatchewan,1655.9166666666667,-17.810315589196335
1996,Saskatchewan,2395.5833333333335,44.66810930501737
1997,Saskatchewan,2781.0,16.088635335861134
1998,Saskatchewan,2993.9166666666665,7.656118902073583
1999,Saskatchewan,3079.0,2.841873799649286
2000,Saskatchewan,2477.4166666666665,-19.5382700010826
2001,Saskatchewan,2362.4166666666665,-4.6419321201520365
